hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457568.95705,ba,V,9.579,0.02,493.628,9.083
2457321.73644,bc,V,9.531,0.02,591.045,10.875
2457155.96477,bc,V,9.592,0.02,558.436,10.275
2456979.69229,bc,V,9.458,0.02,632.258,11.634
2457686.73671,ba,V,9.621,0.02,475.175,8.743
2457675.76923,bc,V,9.587,0.02,560.995,10.322
2457506.03018,ba,V,9.616,0.02,477.263,8.782
2457437.16395,bc,V,9.585,0.02,562.158,10.344
2456897.85203,bc,V,9.459,0.02,631.569,11.621
2456890.85657,bc,V,9.44,0.02,642.433,11.821
2458309.87625,bc,V,9.587,0.02,561.407,10.33
2457970.8874,bc,V,9.61,0.02,549.447,10.11
2457696.70208,bc,V,9.562,0.02,574.356,10.568
2457233.9036,ba,V,9.474,0.02,543.949,10.009
2456866.91675,ba,V,9.356,0.02,606.487,11.159
2457548.02325,bc,V,9.541,0.02,585.677,10.776
2457207.00044,ba,V,9.444,0.02,558.935,10.284
2457101.1292,ba,V,9.442,0.02,560.306,10.31
2456922.82208,bc,V,9.447,0.02,638.235,11.744
2456815.96692,bc,V,9.465,0.02,627.698,11.55
2457126.10524,bc,V,9.529,0.02,591.764,10.888
2458327.86857,bc,V,9.579,0.02,565.422,10.404
2457459.11522,bc,V,9.576,0.02,567.079,10.434
2457304.74195,ba,V,9.465,0.02,548.629,10.095
2457239.93753,bc,V,9.529,0.02,592.087,10.894
2456969.71734,bc,V,9.469,0.02,625.615,11.511
2456913.82596,bc,V,9.481,0.02,618.667,11.383
2458423.71927,ba,V,9.779,0.02,410.675,7.556
2456884.87525,bc,V,9.466,0.02,627.287,11.542
2458285.95341,ba,V,9.708,0.02,438.568,8.07
2457242.96864,ba,V,9.452,0.02,554.938,10.211
2457227.95076,ba,V,9.457,0.02,552.222,10.161
2457211.05212,ba,V,9.486,0.02,537.788,9.895
2456897.83747,ba,V,9.396,0.02,584.29,10.751
2456874.90185,bc,V,9.456,0.02,633.331,11.653
2456820.96927,bc,V,9.472,0.02,624.076,11.483
2456751.03659,bc,V,9.573,0.02,568.327,10.457
2458273.06529,ba,V,9.649,0.02,463.053,8.52
2457889.02581,bc,V,9.591,0.02,559.14,10.288
2457803.16076,bc,V,9.648,0.02,530.614,9.763
2457680.70499,bc,V,9.562,0.02,574.225,10.566
2457298.81219,bc,V,9.54,0.02,585.894,10.78
2457171.93339,bc,V,9.553,0.02,578.959,10.653
2456835.04103,bc,V,9.466,0.02,627.26,11.542
2458379.79903,ba,V,9.668,0.02,455.069,8.373
2458335.86354,bc,V,9.61,0.02,549.547,10.112
2457443.14645,bc,V,9.559,0.02,575.793,10.595
2457244.95802,bc,V,9.547,0.02,582.085,10.71
2457097.10758,bc,V,9.564,0.02,573.443,10.551
2456864.90493,bc,V,9.445,0.02,639.898,11.774
2457801.16822,bc,V,9.635,0.02,536.996,9.881
2457601.98344,ba,V,9.69,0.02,445.647,8.2
2457547.97351,ba,V,9.543,0.02,510.273,9.389
2457482.08304,ba,V,9.584,0.02,491.557,9.045
2456890.86346,ba,V,9.438,0.02,561.976,10.34
2456855.03075,bc,V,9.487,0.02,615.469,11.325
2457109.08032,bc,V,9.594,0.02,557.465,10.257
2456817.97891,bc,V,9.457,0.02,632.566,11.639
2457652.83737,ba,V,9.591,0.02,488.256,8.984
2457597.86605,bc,V,9.573,0.02,568.714,10.464
2457529.97504,bc,V,9.591,0.02,559.114,10.288
2457246.94935,bc,V,9.534,0.02,589.304,10.843
2458309.02246,ba,V,9.667,0.02,455.132,8.374
2457959.00197,ba,V,9.594,0.02,486.892,8.959
2457949.86291,ba,V,9.683,0.02,448.819,8.258
2457939.94393,ba,V,9.599,0.02,484.654,8.918
2457883.96644,ba,V,9.751,0.02,421.323,7.752
2457853.0511,ba,V,9.669,0.02,454.575,8.364
2457686.7403,bc,V,9.635,0.02,536.849,9.878
2457661.75475,ba,V,9.562,0.02,501.444,9.227
2457499.02025,ba,V,9.731,0.02,429.386,7.901
2457228.95151,bc,V,9.527,0.02,592.943,10.91
2456847.9317,bc,V,9.493,0.02,612.188,11.264
2458273.08909,bc,V,9.556,0.02,577.602,10.628
2457668.79961,ba,V,9.61,0.02,480.068,8.833
2456889.86218,bc,V,9.448,0.02,637.859,11.737
2457637.88251,bc,V,9.605,0.02,552.138,10.159
2457583.03825,ba,V,9.56,0.02,502.274,9.242
2457318.71866,bc,V,9.529,0.02,592.017,10.893
2457237.98519,ba,V,9.489,0.02,536.358,9.869
2456865.91,bc,V,9.449,0.02,637.081,11.722
2456735.07135,bc,V,9.552,0.02,579.585,10.664
2458262.08144,bc,V,9.627,0.02,540.901,9.953
2457613.95563,ba,V,9.633,0.02,469.614,8.641
2457603.97152,bc,V,9.587,0.02,561.238,10.327
2457581.993,bc,V,9.644,0.02,532.705,9.802
2457503.05181,bc,V,9.559,0.02,576.096,10.6
2457464.14477,bc,V,9.536,0.02,588.03,10.82
2457193.989,ba,V,9.458,0.02,551.804,10.153
2458397.77161,bc,V,9.632,0.02,538.596,9.91
2458280.90734,bc,V,9.649,0.02,530.288,9.757
2457905.88811,bc,V,9.697,0.02,507.14,9.331
2457578.91396,bc,V,9.529,0.02,592.094,10.895
2457438.16022,bc,V,9.605,0.02,552.165,10.16
2457180.0057,bc,V,9.552,0.02,579.797,10.668
2457137.00271,bc,V,9.58,0.02,565.059,10.397
2456881.93234,bc,V,9.472,0.02,623.72,11.476
2458379.80821,bc,V,9.605,0.02,552.025,10.157
2457237.97682,bc,V,9.526,0.02,593.365,10.918
2458033.79337,bc,V,9.697,0.02,507.067,9.33
2457878.05532,ba,V,9.577,0.02,494.697,9.102
2457851.07716,ba,V,9.592,0.02,487.716,8.974
2457261.89065,bc,V,9.556,0.02,577.702,10.63
2457184.94873,bc,V,9.557,0.02,577.133,10.619
2458322.94955,bc,V,9.61,0.02,549.204,10.105
2457907.98377,bc,V,9.604,0.02,552.433,10.165
2457573.93275,bc,V,9.572,0.02,568.808,10.466
2457199.85663,ba,V,9.474,0.02,543.851,10.007
2457126.08257,ba,V,9.485,0.02,538.292,9.905
2456906.83989,bc,V,9.449,0.02,637.516,11.73
2456891.85457,ba,V,9.436,0.02,563.332,10.365
2456811.98148,ba,V,9.452,0.02,554.88,10.21
2457982.93424,ba,V,9.674,0.02,452.29,8.322
2457277.867,bc,V,9.542,0.02,585.185,10.767
2457215.90739,bc,V,9.54,0.02,586.181,10.786
2457098.11031,ba,V,9.478,0.02,541.696,9.967
2457973.74323,bc,V,9.654,0.02,527.662,9.709
2457639.88145,ba,V,9.633,0.02,469.804,8.644
2457538.06519,bc,V,9.574,0.02,567.969,10.451
2457298.80464,ba,V,9.494,0.02,533.838,9.823
2457069.16781,bc,V,9.567,0.02,571.48,10.515
2456824.97041,bc,V,9.46,0.02,630.801,11.607
2458392.81332,ba,V,9.682,0.02,449.162,8.265
2457960.91459,bc,V,9.578,0.02,565.706,10.409
2457898.97278,bc,V,9.651,0.02,529.134,9.736
2457550.87542,ba,V,9.651,0.02,461.932,8.5
2457196.88487,bc,V,9.553,0.02,579.143,10.656
2457880.09421,bc,V,9.634,0.02,537.528,9.891
2457626.80541,ba,V,9.566,0.02,499.92,9.199
2457197.98718,bc,V,9.52,0.02,597.145,10.987
2456902.84281,ba,V,9.408,0.02,578.204,10.639
2457547.01906,bc,V,9.565,0.02,572.833,10.54
2457167.92726,ba,V,9.522,0.02,520.589,9.579
2456910.84505,ba,V,9.485,0.02,538.163,9.902
2456910.83629,bc,V,9.446,0.02,638.821,11.754
2456896.85603,ba,V,9.461,0.02,550.672,10.132
2458277.88392,bc,V,9.636,0.02,536.621,9.874
2457880.97324,ba,V,9.649,0.02,462.836,8.516
2457876.99369,ba,V,9.635,0.02,468.825,8.626
2457840.10844,bc,V,9.623,0.02,542.756,9.987
2457829.10603,bc,V,9.627,0.02,540.907,9.953
2457504.00642,ba,V,9.712,0.02,436.861,8.038
2457201.81898,bc,V,9.558,0.02,576.564,10.609
2457138.04476,ba,V,9.481,0.02,540.399,9.943
2457898.02524,ba,V,9.638,0.02,467.432,8.601
2457162.99628,ba,V,9.448,0.02,557.124,10.251
2456904.83313,bc,V,9.435,0.02,645.532,11.878
2457860.09855,ba,V,9.681,0.02,449.431,8.27
2457608.95795,ba,V,9.601,0.02,484.05,8.907
2457583.02325,bc,V,9.557,0.02,577.028,10.617
2457264.89079,bc,V,9.566,0.02,572.199,10.528
2457132.07483,ba,V,9.456,0.02,553.082,10.177
2456848.9356,bc,V,9.459,0.02,631.158,11.613
2457971.79432,ba,V,9.671,0.02,453.576,8.346
2457904.90314,bc,V,9.66,0.02,524.724,9.655
2457575.84729,bc,V,10.018,0.02,377.296,6.942
2457288.79129,ba,V,9.484,0.02,538.75,9.913
2457177.91494,ba,V,9.489,0.02,536.233,9.867
2457107.10381,ba,V,9.492,0.02,534.986,9.844
2456888.8658,bc,V,9.452,0.02,635.632,11.696
2457542.00248,bc,V,9.611,0.02,548.693,10.096
2457180.0696,ba,V,9.452,0.02,554.86,10.209
2457825.13113,ba,V,9.668,0.02,454.765,8.368
2457483.06475,bc,V,9.591,0.02,558.921,10.284
2457322.73973,ba,V,9.574,0.02,496.191,9.13
2457204.89585,ba,V,9.446,0.02,558.348,10.274
2456917.8238,bc,V,9.46,0.02,630.93,11.609
2456892.86517,ba,V,9.394,0.02,585.277,10.769
2458015.8447,bc,V,9.67,0.02,519.676,9.562
2457852.04311,bc,V,9.665,0.02,522.137,9.607
2457835.09193,bc,V,9.587,0.02,561.087,10.324
2457603.91773,ba,V,9.594,0.02,486.908,8.959
2457550.86432,bc,V,9.625,0.02,542.012,9.973
2457325.72716,ba,V,9.463,0.02,549.556,10.112
2457204.87732,bc,V,9.56,0.02,575.114,10.582
2457989.92252,bc,V,9.644,0.02,532.476,9.798
2457984.89011,ba,V,9.647,0.02,463.599,8.53
2457984.84393,bc,V,9.583,0.02,563.037,10.36
2457893.06913,bc,V,9.61,0.02,549.44,10.11
2457296.8059,bc,V,9.526,0.02,593.471,10.92
2457101.14433,bc,V,9.564,0.02,573.173,10.546
2458312.01547,ba,V,9.771,0.02,413.609,7.61
2458010.86649,ba,V,9.587,0.02,490.012,9.016
2457852.05097,ba,V,9.643,0.02,465.634,8.568
2457847.06462,ba,V,9.744,0.02,424.019,7.802
2457595.85842,bc,V,9.594,0.02,557.388,10.256
2457451.13725,bc,V,9.551,0.02,580.304,10.678
2457303.78786,bc,V,9.546,0.02,582.718,10.722
2457195.03015,bc,V,9.527,0.02,593.297,10.917
2458369.87223,bc,V,9.608,0.02,550.445,10.128
2458343.9517,bc,V,9.639,0.02,534.74,9.839
2458036.77224,bc,V,9.628,0.02,540.182,9.939
2457857.05405,ba,V,9.942,0.02,353.352,6.502
2457251.94508,ba,V,9.48,0.02,540.996,9.954
2457167.91804,bc,V,9.58,0.02,564.655,10.39
2456914.82115,ba,V,9.456,0.02,553.091,10.177
2456836.04349,bc,V,9.485,0.02,616.393,11.342
2458408.73376,bc,V,9.59,0.02,559.485,10.295
2458177.14792,ba,V,9.755,0.02,420.017,7.728
2457991.76469,bc,V,9.64,0.02,534.375,9.832
2457630.7872,ba,V,9.6,0.02,484.43,8.914
2457488.05855,bc,V,9.582,0.02,563.727,10.373
2457144.97994,bc,V,9.576,0.02,566.94,10.432
2456868.89384,bc,V,9.464,0.02,628.35,11.562
2456865.91268,ba,V,9.508,0.02,527.317,9.703
2456827.96057,bc,V,9.478,0.02,620.577,11.419
2457996.79353,bc,V,9.601,0.02,553.902,10.192
2457463.10493,bc,V,9.552,0.02,579.702,10.667
2457277.8554,ba,V,9.494,0.02,534.096,9.827
2457173.9392,ba,V,9.477,0.02,542.405,9.98
2456906.8455,ba,V,9.474,0.02,544.052,10.011
2458307.89793,bc,V,9.577,0.02,566.521,10.424
2457585.90367,ba,V,9.607,0.02,481.055,8.851
2457303.79549,ba,V,9.494,0.02,533.874,9.823
2456862.91505,bc,V,9.457,0.02,632.723,11.642
2456857.03417,ba,V,9.465,0.02,548.471,10.092
2457977.87986,ba,V,9.594,0.02,487.049,8.962
2457314.73312,bc,V,10.049,0.02,366.735,6.748
2457310.76865,bc,V,9.535,0.02,588.457,10.828
2458000.8899,bc,V,9.59,0.02,559.675,10.298
2457538.99342,ba,V,9.539,0.02,512.408,9.428
2457506.01518,bc,V,9.603,0.02,553.084,10.177
2457439.15666,bc,V,9.624,0.02,542.64,9.985
2456902.83715,bc,V,9.461,0.02,630.218,11.596
2456826.96922,bc,V,9.482,0.02,618.326,11.377
2457942.94414,bc,V,9.591,0.02,558.877,10.283
2457577.0198,bc,V,9.562,0.02,574.13,10.564
2457493.04461,bc,V,9.613,0.02,547.779,10.079
2457467.10385,bc,V,10.192,0.02,321.364,5.913
2457181.99898,bc,V,9.547,0.02,582.317,10.715
2457107.08135,bc,V,9.604,0.02,552.614,10.168
2456863.90662,bc,V,9.477,0.02,620.809,11.423
2456855.91767,bc,V,9.465,0.02,627.859,11.553
2458430.7015,ba,V,9.658,0.02,459.301,8.451
2458036.78775,ba,V,9.655,0.02,460.296,8.469
2457445.15701,ba,V,9.643,0.02,465.547,8.566
2457939.92593,bc,V,9.579,0.02,565.405,10.403
2457817.13371,ba,V,9.643,0.02,465.4,8.563
2457637.88616,ba,V,9.618,0.02,476.508,8.768
2457149.06837,bc,V,9.51,0.02,602.431,11.085
2457106.08395,bc,V,9.559,0.02,575.874,10.596
2456829.94985,ba,V,9.422,0.02,570.398,10.495
2456818.96443,ba,V,9.428,0.02,567.623,10.444
2457325.72316,bc,V,9.595,0.02,557.059,10.25
2457274.86649,ba,V,9.438,0.02,562.075,10.342
2457110.07529,bc,V,9.581,0.02,564.407,10.385
2456932.72379,bc,V,9.457,0.02,632.782,11.643
2458283.9987,bc,V,9.617,0.02,545.787,10.042
2457870.06391,ba,V,9.652,0.02,461.667,8.495
2457092.12296,bc,V,9.568,0.02,570.941,10.505
2456971.69345,bc,V,9.512,0.02,601.603,11.07
2456900.83932,bc,V,9.458,0.02,632.268,11.634
2458343.96314,ba,V,9.712,0.02,436.811,8.037
2457848.04924,bc,V,9.634,0.02,537.434,9.889
2457827.12003,ba,V,9.668,0.02,455.058,8.373
2457621.86,bc,V,9.562,0.02,574.52,10.571
2457610.91169,bc,V,9.551,0.02,580.317,10.678
2457496.01543,bc,V,9.628,0.02,540.411,9.944
2457133.06611,ba,V,9.457,0.02,552.617,10.168
2456909.82593,bc,V,9.49,0.02,613.473,11.288
2458315.95315,bc,V,9.628,0.02,540.243,9.94
2458257.02815,ba,V,9.614,0.02,478.184,8.799
2457242.96313,bc,V,9.544,0.02,583.873,10.743
2456919.81915,ba,V,9.429,0.02,566.734,10.428
2458385.81858,bc,V,9.623,0.02,542.925,9.99
2457657.81851,bc,V,9.595,0.02,557.31,10.254
2457630.90222,bc,V,9.571,0.02,569.369,10.476
2457490.04749,bc,V,9.591,0.02,559.026,10.286
2457251.94246,bc,V,9.532,0.02,590.53,10.866
2456973.69013,bc,V,9.453,0.02,635.131,11.686
2456914.81829,bc,V,9.471,0.02,624.727,11.495
2457515.01073,bc,V,9.577,0.02,566.302,10.42
2457478.11611,bc,V,9.568,0.02,570.955,10.506
2457114.08895,bc,V,9.555,0.02,578.054,10.636
2457103.09937,bc,V,9.549,0.02,581.372,10.697
2457905.89542,ba,V,9.644,0.02,464.926,8.555
2457671.7487,ba,V,9.612,0.02,478.788,8.81
2457501.03565,ba,V,9.663,0.02,457.189,8.412
2457272.87924,ba,V,9.507,0.02,527.796,9.711
2456818.96769,bc,V,9.46,0.02,630.578,11.603
2457921.09092,bc,V,9.622,0.02,543.638,10.003
2457859.06467,bc,V,9.629,0.02,540.044,9.937
2457083.14343,ba,V,9.523,0.02,520.007,9.568
2456867.91008,bc,V,9.466,0.02,627.276,11.542
2456832.94701,bc,V,9.473,0.02,623.428,11.471
2457268.74452,ba,V,11.127,0.02,118.714,2.184
2457230.90531,ba,V,9.425,0.02,569.175,10.473
2456797.00731,bc,V,9.49,0.02,613.5,11.288
2458370.82463,ba,V,9.683,0.02,448.681,8.256
2458348.88804,bc,V,9.684,0.02,513.029,9.44
2458291.83156,bc,V,9.719,0.02,496.904,9.143
2457320.74467,ba,V,9.507,0.02,527.426,9.705
2456891.86084,bc,V,9.444,0.02,640.288,11.781
2456913.82888,ba,V,9.377,0.02,594.583,10.94
2456892.85938,bc,V,9.452,0.02,635.26,11.689
2456857.03149,bc,V,9.459,0.02,631.354,11.617
2456815.96932,ba,V,9.355,0.02,607.171,11.172
2458037.77941,bc,V,9.667,0.02,521.541,9.596
2457962.00502,ba,V,9.692,0.02,444.984,8.188
2457696.71382,ba,V,9.546,0.02,508.897,9.364
2457660.80678,ba,V,9.526,0.02,518.479,9.54
2457639.87771,bc,V,9.588,0.02,560.893,10.32
2458361.91077,bc,V,9.616,0.02,546.316,10.052
2458254.94993,bc,V,9.757,0.02,479.923,8.831
2457171.98033,ba,V,9.463,0.02,549.528,10.111
2457996.79719,ba,V,9.587,0.02,490.007,9.016
2457871.04534,bc,V,9.661,0.02,523.983,9.641
2457840.10458,ba,V,9.659,0.02,458.83,8.442
2457668.79184,bc,V,9.584,0.02,562.626,10.352
2457591.97572,bc,V,9.573,0.02,568.268,10.456
2457512.03973,bc,V,9.559,0.02,575.924,10.597
2457243.86562,ba,V,9.422,0.02,570.48,10.497
2457164.06354,bc,V,9.545,0.02,583.447,10.735
2457137.99996,bc,V,9.586,0.02,561.887,10.339
2457132.08504,bc,V,9.537,0.02,587.647,10.813
2457563.0004,bc,V,9.536,0.02,588.099,10.821
2457221.89105,bc,V,9.511,0.02,601.923,11.075
2457177.92496,bc,V,9.54,0.02,585.954,10.782
2457104.10562,ba,V,9.457,0.02,552.42,10.165
2458177.13613,bc,V,9.669,0.02,520.382,9.575
2457979.80344,bc,V,9.574,0.02,567.784,10.447
2457894.0499,ba,V,9.6,0.02,484.462,8.914
2457890.08606,ba,V,9.686,0.02,447.499,8.234
2457532.93836,bc,V,9.58,0.02,565.013,10.396
2457122.12975,ba,V,9.445,0.02,558.622,10.279
2456875.89315,bc,V,9.447,0.02,638.427,11.747
2456788.00643,ba,V,9.41,0.02,576.763,10.612
2457617.89066,bc,V,9.57,0.02,569.802,10.484
2457587.00774,bc,V,9.58,0.02,564.99,10.396
2457966.80436,bc,V,9.62,0.02,544.606,10.021
2456922.82502,ba,V,9.478,0.02,541.916,9.971
2456849.93389,bc,V,9.578,0.02,566.08,10.416
2458225.04052,ba,V,9.684,0.02,448.325,8.249
2457925.96246,bc,V,9.634,0.02,537.489,9.89
2457265.90678,ba,V,9.439,0.02,561.663,10.335
2457149.01937,ba,V,9.45,0.02,556.078,10.232
2456888.85403,ba,V,9.437,0.02,562.759,10.355
2456737.06047,bc,V,9.505,0.02,604.967,11.131
2458306.06416,ba,V,9.759,0.02,418.326,7.697
2457835.11019,ba,V,9.585,0.02,490.976,9.034
2457578.05372,ba,V,9.568,0.02,498.656,9.175
2457308.77364,bc,V,9.51,0.02,602.695,11.09
2457192.02003,bc,V,9.54,0.02,585.864,10.78
2456887.87879,ba,V,9.448,0.02,557.119,10.251
2457979.88261,ba,V,9.655,0.02,460.329,8.47
2457509.0841,bc,V,9.566,0.02,571.951,10.524
2457208.84753,bc,V,9.57,0.02,570.0,10.488
2456819.96592,bc,V,9.455,0.02,634.034,11.666
2458277.92342,ba,V,9.673,0.02,452.789,8.331
2457671.7562,bc,V,9.617,0.02,546.108,10.048
2457613.95211,bc,V,9.573,0.02,568.451,10.46
2457597.78957,ba,V,9.647,0.02,463.926,8.536
2457590.01755,ba,V,9.566,0.02,499.899,9.198
2457559.00361,bc,V,9.553,0.02,579.26,10.658
2457468.09097,bc,V,9.598,0.02,555.409,10.22
2456731.08651,ba,V,9.815,0.02,397.474,7.314
2458021.81693,ba,V,9.683,0.02,448.581,8.254
2457967.82665,ba,V,9.698,0.02,442.435,8.141
2457877.97214,bc,V,9.676,0.02,516.972,9.512
2457690.72365,bc,V,9.607,0.02,551.196,10.142
2456866.91077,bc,V,9.457,0.02,632.422,11.637
2458428.69923,bc,V,9.595,0.02,556.827,10.246
2457570.89796,ba,V,9.574,0.02,496.172,9.13
2456820.97171,ba,V,9.415,0.02,574.235,10.566
2458037.78728,ba,V,9.68,0.02,450.044,8.281
2457133.01764,bc,V,9.569,0.02,570.741,10.502
2456942.77119,bc,V,9.479,0.02,619.911,11.406
2456896.85054,bc,V,9.445,0.02,639.86,11.773
2458298.96646,bc,V,9.58,0.02,564.781,10.392
2458009.86749,bc,V,9.6,0.02,554.263,10.198
2457879.06367,bc,V,9.585,0.02,562.412,10.348
2457221.92592,ba,V,9.451,0.02,555.329,10.218
2457113.07879,bc,V,9.572,0.02,568.801,10.466
2456932.76667,ba,V,9.395,0.02,585.156,10.767
2456868.89918,ba,V,9.37,0.02,598.723,11.016
2456814.96928,bc,V,9.476,0.02,621.875,11.442
2458315.84388,ba,V,9.745,0.02,423.741,7.797
2458274.88102,bc,V,9.733,0.02,490.398,9.023
2458017.84989,ba,V,9.658,0.02,458.948,8.445
2457936.86096,bc,V,9.691,0.02,509.915,9.382
2457490.04359,ba,V,9.614,0.02,478.245,8.8
2457483.07577,ba,V,9.579,0.02,493.671,9.084
2457080.14972,ba,V,9.48,0.02,541.052,9.955
2457974.7817,bc,V,9.634,0.02,537.293,9.886
2457913.88693,bc,V,9.625,0.02,541.92,9.971
2457607.90033,bc,V,9.563,0.02,573.884,10.559
2457527.92865,bc,V,9.607,0.02,551.202,10.142
2457270.88779,bc,V,10.151,0.02,333.852,6.143
2457196.91264,ba,V,9.462,0.02,549.964,10.119
2456924.79744,bc,V,9.461,0.02,630.436,11.6
2456916.8144,bc,V,9.456,0.02,633.062,11.648
2456876.89746,bc,V,9.456,0.02,633.384,11.654
2458013.85682,ba,V,9.597,0.02,485.43,8.932
2458004.89039,ba,V,9.639,0.02,467.375,8.6
2457296.80219,ba,V,9.502,0.02,530.018,9.752
2457104.09626,bc,V,9.571,0.02,569.721,10.483
2457619.87528,bc,V,9.54,0.02,586.155,10.785
2457333.70533,ba,V,9.497,0.02,532.254,9.793
2456894.85124,bc,V,9.442,0.02,641.402,11.802
2456828.96813,bc,V,9.472,0.02,623.777,11.478
2457928.89333,ba,V,9.618,0.02,476.497,8.768
2457880.96182,bc,V,9.669,0.02,520.377,9.575
2457454.14163,bc,V,9.55,0.02,580.565,10.682
2457288.71407,bc,V,9.558,0.02,576.316,10.604
2457173.90129,bc,V,9.565,0.02,572.683,10.537
2457098.10385,bc,V,9.575,0.02,567.646,10.445
2456751.05272,ba,V,9.457,0.02,552.622,10.168
2458415.69908,bc,V,9.596,0.02,556.721,10.244
2457693.71469,bc,V,9.585,0.02,562.474,10.35
2457512.05463,ba,V,9.616,0.02,477.316,8.783
2457309.74263,ba,V,9.498,0.02,531.885,9.787
2457235.9867,bc,V,9.523,0.02,595.249,10.953
2457106.10326,ba,V,9.477,0.02,542.186,9.976
2456898.84971,ba,V,9.44,0.02,561.046,10.323
2456816.97468,ba,V,9.392,0.02,586.392,10.79
2458285.95768,bc,V,9.685,0.02,512.669,9.433
2457991.80721,ba,V,9.603,0.02,483.048,8.888
2457702.68887,bc,V,9.565,0.02,572.669,10.537
2458018.83838,bc,V,9.631,0.02,538.84,9.915
2457831.11704,bc,V,9.636,0.02,536.522,9.872
2457652.82973,bc,V,9.558,0.02,576.555,10.609
2457333.70126,bc,V,9.54,0.02,585.873,10.78
2457115.07972,bc,V,9.568,0.02,570.845,10.504
2457083.13458,bc,V,9.566,0.02,571.953,10.524
2456827.96305,ba,V,9.396,0.02,584.286,10.751
2456816.97226,bc,V,9.455,0.02,633.868,11.663
2458326.90696,ba,V,9.599,0.02,484.901,8.922
2458026.79461,bc,V,9.597,0.02,556.158,10.233
2457925.98446,ba,V,9.615,0.02,477.481,8.786
2457693.72264,ba,V,9.672,0.02,453.412,8.343
2457542.98714,ba,V,9.583,0.02,491.806,9.049
2457125.1144,bc,V,9.536,0.02,588.452,10.828
2456931.781,bc,V,9.459,0.02,631.683,11.623
2456855.02752,ba,V,9.389,0.02,588.417,10.827
2457207.02952,bc,V,9.541,0.02,585.694,10.777
2456915.82269,bc,V,9.47,0.02,625.243,11.504
2457978.95447,bc,V,9.607,0.02,550.784,10.134
2457942.9739,ba,V,9.634,0.02,469.241,8.634
2457802.16763,bc,V,9.647,0.02,531.147,9.773
2457662.80706,bc,V,9.653,0.02,528.245,9.72
2457521.05475,bc,V,9.556,0.02,577.565,10.627
2457440.16484,ba,V,9.67,0.02,453.904,8.352
2457245.94912,ba,V,9.469,0.02,546.51,10.056
2456923.80717,bc,V,9.45,0.02,636.479,11.711
2456863.91195,ba,V,9.412,0.02,575.854,10.596
2457500.03938,bc,V,9.57,0.02,570.128,10.49
2457473.0922,bc,V,9.605,0.02,551.98,10.156
2456919.81603,bc,V,9.451,0.02,635.85,11.7
2456885.84942,bc,V,9.45,0.02,636.732,11.716
2458294.01444,bc,V,9.583,0.02,563.313,10.365
2457559.9539,ba,V,9.587,0.02,490.335,9.022
2457441.16105,bc,V,9.554,0.02,578.478,10.644
2457328.71437,bc,V,9.548,0.02,581.473,10.699
2457081.13978,bc,V,9.56,0.02,575.073,10.581
2458021.82854,bc,V,9.642,0.02,533.382,9.814
2457958.99852,bc,V,9.606,0.02,551.269,10.143
2456970.71369,ba,V,9.413,0.02,575.474,10.589
2456867.91698,ba,V,9.399,0.02,582.844,10.724
2457625.81568,ba,V,9.551,0.02,506.687,9.323
2457577.05396,ba,V,9.581,0.02,492.949,9.07
2457305.77945,bc,V,9.542,0.02,584.89,10.762
2456889.85055,ba,V,9.446,0.02,558.079,10.269
2458318.93002,ba,V,13.344,0.02185,15.395,0.31
2457823.11904,bc,V,9.636,0.02,536.578,9.873
2457600.83854,bc,V,9.633,0.02,537.682,9.893
2456887.87276,bc,V,9.447,0.02,638.376,11.746
2456829.95603,bc,V,9.485,0.02,616.35,11.341
2456828.97911,ba,V,9.411,0.02,576.389,10.606
2458004.87228,bc,V,9.645,0.02,531.828,9.786
2456967.72156,bc,V,9.452,0.02,635.55,11.694
2456832.95243,ba,V,9.407,0.02,578.734,10.649
2456817.98408,ba,V,9.451,0.02,555.675,10.224
2458326.89178,bc,V,9.584,0.02,562.963,10.359
2457688.74707,bc,V,9.625,0.02,542.105,9.975
2457552.99078,ba,V,9.517,0.02,522.858,9.621
2457274.87808,bc,V,9.552,0.02,579.429,10.661
2457231.93247,bc,V,9.523,0.02,595.167,10.951
2457136.03601,ba,V,9.473,0.02,544.429,10.017
2456920.81123,ba,V,9.365,0.02,601.364,11.065
2456920.80533,bc,V,9.448,0.02,637.913,11.738
2456846.92862,bc,V,9.491,0.02,613.124,11.281
2458318.90322,bc,V,9.604,0.02,552.591,10.168
2458281.92871,bc,V,9.666,0.02,522.02,9.605
2457830.11293,ba,V,9.68,0.02,450.036,8.281
2457184.02356,bc,V,9.521,0.02,596.113,10.968
