hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457870.06391,ba,V,11.971,0.02,68.99,1.269
2457550.87542,ba,V,11.974,0.02,68.757,1.265
2457493.04461,bc,V,12.015,0.02,59.953,1.103
2456816.97226,bc,V,12.031,0.02,59.066,1.087
2458318.90322,bc,V,11.955,0.02,63.346,1.166
2457610.91169,bc,V,12.053,0.02,57.926,1.066
2457268.74452,ba,V,11.995,0.02,67.48,1.242
2457132.08504,bc,V,12.02,0.02,59.679,1.098
2458294.01444,bc,V,11.976,0.02,62.14,1.143
2458015.8447,bc,V,12.013,0.02,60.073,1.105
2457696.70208,bc,V,12.073,0.02,56.837,1.046
2457637.88251,bc,V,12.024,0.02,59.485,1.095
2457221.92592,ba,V,12.024,0.02,65.714,1.209
2457125.1144,bc,V,11.955,0.02,63.39,1.166
2456942.77119,bc,V,11.986,0.02,61.563,1.133
2456847.9317,bc,V,12.056,0.02,57.754,1.063
2456751.03659,bc,V,11.93,0.02,64.835,1.193
2458307.89793,bc,V,12.044,0.02,58.397,1.074
2458298.96646,bc,V,11.928,0.02,64.973,1.196
2457137.99996,bc,V,12.0,0.02,60.779,1.118
2456920.80533,bc,V,12.048,0.02,58.183,1.071
2456815.96932,ba,V,12.034,0.02,65.064,1.197
2458423.71927,ba,V,12.032,0.02,65.23,1.2
2457639.87771,bc,V,12.007,0.02,60.437,1.112
2457607.90033,bc,V,12.028,0.02,59.26,1.09
2457600.83854,bc,V,12.035,0.02,58.869,1.083
2457473.0922,bc,V,11.974,0.02,62.257,1.146
2456829.94985,ba,V,11.9,0.02,73.663,1.355
2458369.87223,bc,V,12.014,0.02,60.04,1.105
2457949.86291,ba,V,12.008,0.02,66.648,1.226
2457898.02524,ba,V,12.03,0.02,65.352,1.202
2457274.87808,bc,V,12.055,0.02,57.812,1.064
2457246.94935,bc,V,12.006,0.02,60.454,1.112
2457853.0511,ba,V,11.996,0.02,67.421,1.241
2457830.11293,ba,V,12.058,0.02,63.686,1.172
2457613.95211,bc,V,12.063,0.02,57.364,1.056
2457251.94508,ba,V,12.006,0.02,66.818,1.229
2457208.84753,bc,V,12.023,0.02,59.519,1.095
2456909.82593,bc,V,12.0,0.02,60.784,1.118
2456897.83747,ba,V,12.021,0.02,65.879,1.212
2457575.84729,bc,V,11.965,0.02,62.783,1.155
2458225.04052,ba,V,12.113,0.02,60.543,1.114
2457876.99369,ba,V,12.021,0.02,65.869,1.212
2457298.81219,bc,V,12.021,0.02,59.648,1.098
2457155.96477,bc,V,11.954,0.02,63.436,1.167
2456863.90662,bc,V,12.014,0.02,60.008,1.104
2458397.77161,bc,V,11.957,0.02,63.259,1.164
2457171.98033,ba,V,12.009,0.02,66.63,1.226
2457133.01764,bc,V,12.017,0.02,59.874,1.102
2456924.79744,bc,V,12.074,0.02,56.776,1.045
2456922.82208,bc,V,12.068,0.02,57.136,1.051
2457840.10844,bc,V,11.976,0.02,62.182,1.144
2457802.16763,bc,V,12.004,0.02,60.599,1.115
2457603.97152,bc,V,11.998,0.02,60.909,1.121
2457109.08032,bc,V,12.006,0.02,60.448,1.112
2456832.94701,bc,V,11.914,0.02,65.834,1.211
2458177.14792,ba,V,12.006,0.02,66.767,1.229
2458000.8899,bc,V,12.012,0.02,60.105,1.106
2457928.89333,ba,V,12.014,0.02,66.289,1.22
2457925.98446,ba,V,11.979,0.02,68.451,1.26
2457859.06467,bc,V,12.029,0.02,59.184,1.089
2457328.71437,bc,V,11.998,0.02,60.89,1.12
2457101.1292,ba,V,12.059,0.02,63.63,1.171
2456916.8144,bc,V,11.993,0.02,61.186,1.126
2458312.01547,ba,V,12.013,0.02,66.385,1.221
2457538.06519,bc,V,11.98,0.02,61.936,1.14
2457270.88779,bc,V,12.018,0.02,59.776,1.1
2457264.89079,bc,V,11.95,0.02,63.678,1.172
2457104.10562,ba,V,12.031,0.02,65.258,1.201
2457966.80436,bc,V,11.972,0.02,62.363,1.147
2457942.94414,bc,V,12.08,0.02,56.478,1.039
2457107.08135,bc,V,11.99,0.02,61.353,1.129
2456979.69229,bc,V,12.01,0.02,60.224,1.108
2456932.72379,bc,V,12.004,0.02,60.557,1.114
2456891.85457,ba,V,12.078,0.02,62.486,1.15
2456820.96927,bc,V,12.046,0.02,58.258,1.072
2458036.77224,bc,V,11.986,0.02,61.578,1.133
2457879.06367,bc,V,12.018,0.02,59.795,1.1
2457325.72716,ba,V,11.964,0.02,69.447,1.278
2457177.91494,ba,V,11.993,0.02,67.595,1.244
2457877.97214,bc,V,12.042,0.02,58.484,1.076
2457515.01073,bc,V,12.034,0.02,58.921,1.084
2456797.00731,bc,V,12.023,0.02,59.548,1.096
2458285.95768,bc,V,12.011,0.02,60.163,1.107
2458281.92871,bc,V,11.97,0.02,62.519,1.15
2457437.16395,bc,V,11.983,0.02,61.775,1.137
2456829.95603,bc,V,11.904,0.02,66.421,1.222
2457984.84393,bc,V,11.96,0.02,63.102,1.161
2457847.06462,ba,V,11.963,0.02,69.518,1.279
2457835.09193,bc,V,12.011,0.02,60.181,1.107
2457662.80706,bc,V,12.038,0.02,58.683,1.08
2457563.0004,bc,V,12.059,0.02,57.585,1.06
2457107.10381,ba,V,12.007,0.02,66.729,1.228
2458322.94955,bc,V,12.01,0.02,60.233,1.108
2457835.11019,ba,V,11.987,0.02,67.958,1.25
2457668.79961,ba,V,11.998,0.02,67.289,1.238
2457467.10385,bc,V,12.064,0.02,57.298,1.054
2456874.90185,bc,V,11.973,0.02,62.332,1.147
2457552.99078,ba,V,11.971,0.02,68.962,1.269
2457239.93753,bc,V,11.956,0.02,63.292,1.165
2457803.16076,bc,V,11.965,0.02,62.788,1.155
2457133.06611,ba,V,12.018,0.02,66.065,1.216
2457890.08606,ba,V,12.074,0.02,62.737,1.154
2457243.86562,ba,V,11.988,0.02,67.876,1.249
2456866.91077,bc,V,11.993,0.02,61.207,1.126
2457657.81851,bc,V,12.039,0.02,58.663,1.079
2457630.7872,ba,V,12.088,0.02,61.956,1.14
2457585.90367,ba,V,11.988,0.02,67.891,1.249
2457547.01906,bc,V,11.971,0.02,62.433,1.149
2457496.01543,bc,V,12.031,0.02,59.116,1.088
2457204.87732,bc,V,11.972,0.02,62.401,1.148
2456889.85055,ba,V,12.082,0.02,62.269,1.146
2456865.91268,ba,V,11.999,0.02,67.242,1.237
2456828.96813,bc,V,11.905,0.02,66.345,1.221
2457984.89011,ba,V,11.981,0.02,68.336,1.257
